leak_node,leak_diam_mm,leak_at,closest_sensor,dd_auc_d3,dd_timepoint_d3,dd_score_d3,dd_auc_ks,dd_timepoint_ks,dd_score_ks
n67,11,2338200,n54,0.6,2419200,0.3813465490362812,0.55,2332800,0.8080357142857143
n68,11,3581100,n410,0.9925373134328358,3542400,0.023224914965986332,0.75,3542400,0.7321428571428572
n71,11,1488600,n519,0.75,1555200,0.3672517183956916,0.7,1468800,0.7946428571428572
n72,11,7168500,n54,0.6666666666666666,7171200,0.38534801941609986,0.5,7171200,0.8318452380952381
n74,11,4804200,n54,0.75,4838400,0.35843386833900226,0.55,4838400,0.8214285714285714
n75,11,2419200,n410,0.9425373134328358,2419200,0.022925967261904878,0.8,2419200,0.7172619047619048
n77,11,4872600,n458,0.7,4924800,0.35964516014739223,0.55,4838400,0.8199404761904762
n78,11,4987800,n519,0.9,4924800,0.19523056618480727,0.5,5011200,0.8348214285714286
n79,11,897300,n458,0.7222222222222222,950400,0.3596008715986394,0.8333333333333333,1036800,0.7648809523809523
n82,11,5170500,n410,0.85,5184000,0.278406675170068,0.65,5270400,0.8154761904761905
n83,11,1208700,n429,0.6,1209600,0.3872502125850341,0.7,1209600,0.7574404761904762
n86,11,3695400,n429,0.55,3715200,0.3958421910430838,0.5,777600,0.8571428571428572
n87,11,5451300,n342,0.7,5443200,0.354850924744898,0.55,5443200,0.7961309523809523
n91,11,4907700,n458,1.0,4924800,0.07295874078798181,0.6,4924800,0.8035714285714286
n96,11,4771800,n105,0.9925373134328358,4752000,0.026688279478457977,0.8,4752000,0.7291666666666667
n97,11,4458600,n469,0.9925373134328358,4492800,0.04852474844104304,0.85,4406400,0.7366071428571428
n98,11,2936700,n105,0.95,2937600,0.007212390164399118,0.8,2937600,0.6979166666666667
n100,11,2527200,n105,0.9925373134328358,2505600,0.03157330640589584,0.7,2505600,0.7440476190476191
n101,11,2110500,n105,1.0,2073600,0.030796042375283328,0.8,2073600,0.7202380952380952
n104,11,5542200,n114,0.9925373134328358,5529600,0.013698448129251806,0.85,5529600,0.6800595238095238
n105,11,5885100,n105,0.9925373134328358,5875200,0.025512418509070378,0.85,5875200,0.7380952380952381
n106,11,2920500,n114,0.9925373134328358,2937600,0.022111057964852687,0.8,2937600,0.7395833333333333
n107,11,2364300,n105,0.9925373134328358,2332800,0.03840038619614505,0.7,2332800,0.7619047619047619
n111,11,2562300,n495,0.5,691200,0.44683381164965985,0.5,777600,0.8571428571428572
n112,11,3522600,n495,1.0,3542400,0.07046086663832207,0.6,3542400,0.7916666666666666
n113,11,1569600,n105,0.9925373134328358,1555200,0.04296875,0.65,1641600,0.7916666666666666
n114,11,5556600,n114,0.9925373134328358,5529600,0.02141572774943301,0.85,5529600,0.6651785714285714
n115,11,5363100,n495,0.9,5356800,0.2551086840986396,0.5,5356800,0.8273809523809523
n117,11,2816100,n415,0.9925373134328358,2764800,0.05442176870748294,0.65,2851200,0.7931547619047619
n121,11,3975300,n516,1.0,3974400,0.0028344671201813165,0.9,3974400,0.7321428571428572
